,PLAYER_ID,SCHOOL_NAME,STANDING_VERTICAL_LEAP,MAX_VERTICAL_LEAP,LANE_AGILITY_TIME,MODIFIED_LANE_AGILITY_TIME,THREE_QUARTER_SPRINT,BENCH_PRESS,full_name,POSITION,HEIGHT_WO_SHOES,WEIGHT,WINGSPAN,STANDING_REACH,HAND_LENGTH,HAND_WIDTH,PTS,REB,AST,STL,BLK,FGA,FGM,FTA,FTM,TOV,GP
0,1630173,Memphis,,,,,,,Precious Achiuwa,PF,79.5,234,84.75,108.5,9.0,10.0,2985,2300,410,227,277,2500,1219,658,400,397,394
1,203500,Pittsburgh,28.5,33.0,11.85,3.02,3.4,16.0,Steven Adams,C,82.75,254.5,88.5,109.5,9.5,11.0,6743,6115,1145,646,703,4786,2804,2129,1134,1083,764
2,1628389,Kentucky,33.5,38.5,11.94,3.24,3.24,12.0,Bam Adebayo,PF-C,80.75,242.6,86.75,108.0,9.5,8.75,8923,5024,2044,607,489,6389,3428,2598,1965,1218,567
3,1630534,Kansas,32.0,41.5,10.88,3.1,3.13,,Ochai Agbaji,SG,76.5,214.40,82.0,103.5,9.0,8.75,2044,795,331,168,133,1786,787,229,164,223,279
4,1630534,Kansas,32.0,41.5,10.88,3.1,3.13,,Ochai Agbaji,SG,76.5,216.80,82.25,104.0,8.75,9.5,2044,795,331,168,133,1786,787,229,164,223,279
5,1630534,Kansas,32.0,39.0,10.77,3.11,3.13,,Ochai Agbaji,SG,76.5,214.40,82.0,103.5,9.0,8.75,2044,795,331,168,133,1786,787,229,164,223,279
6,1630534,Kansas,32.0,39.0,10.77,3.11,3.13,,Ochai Agbaji,SG,76.5,216.80,82.25,104.0,8.75,9.5,2044,795,331,168,133,1786,787,229,164,223,279
7,1641725,Creighton,29.5,34.0,11.6,,3.35,,Trey Alexander,SG,75.25,184.60,82.0,101.5,8.5,8.75,32,12,11,2,1,41,13,4,3,5,24
8,1641725,Creighton,29.5,34.0,11.6,,3.35,,Trey Alexander,SG,75.25,187.00,82.5,101.5,8.75,10.0,32,12,11,2,1,41,13,4,3,5,24
9,1641725,Creighton,26.5,32.0,11.37,2.92,3.21,,Trey Alexander,SG,75.25,184.60,82.0,101.5,8.5,8.75,32,12,11,2,1,41,13,4,3,5,24
