PLAYER_ID,PTS,REB,AST,STL,BLK,FGA,FGM,FTA,FTM,TOV,GP
1630173,2985,2300,410,227,277,2500,1219,658,400,397,394
203500,6743,6115,1145,646,703,4786,2804,2129,1134,1083,764
1628389,8923,5024,2044,607,489,6389,3428,2598,1965,1218,567
1630534,2044,795,331,168,133,1786,787,229,164,223,279
1630583,2293,1226,444,146,141,1873,860,357,247,216,235
1641725,32,12,11,2,1,41,13,4,3,5,24
1629638,4313,1236,1146,334,194,3828,1564,624,459,594,505
1628960,4250,1216,812,293,112,3140,1416,657,563,399,403
1628386,8094,5870,1054,403,793,5024,3210,2320,1649,867,631
1630631,1856,505,714,271,46,1649,678,259,196,247,227
203937,5233,3273,2123,739,474,4299,2052,1134,813,751,775
203507,20538,8530,4288,961,1064,13668,7525,7134,4946,2586,859
1630175,4015,1372,1223,222,135,3380,1415,885,750,596,320
1628384,7066,2352,938,705,325,5598,2664,1017,773,730,542
1642379,0,0,0,0,0,0,0,0,0,0,0
1630166,4045,2236,1008,287,159,3117,1441,991,746,599,359
1629028,6542,4167,649,292,380,4926,2905,932,704,688,398
1630542,67,70,10,9,12,69,27,10,8,7,10
1628963,4738,2623,355,181,240,3665,1921,1059,736,441,418
1631116,396,213,46,30,23,334,140,42,27,40,117
1630163,4859,1379,1710,340,76,4073,1716,863,722,769,231
1628366,3262,1565,1678,438,179,3033,1206,314,188,678,287
1628964,2922,2350,370,154,534,2351,1122,476,324,337,445
1631094,4432,1396,919,167,114,3440,1531,1478,1079,583,198
1630217,5580,1438,1179,312,117,4333,2045,768,678,577,313
1630625,2020,660,549,150,97,1839,740,433,322,311,270
1631230,402,300,79,31,49,312,162,100,68,29,96
203084,15072,5103,1854,722,191,11613,5299,3528,2861,1222,1070
1630567,4756,2065,1368,331,267,3953,1843,1014,772,640,276
1629628,8463,2465,1469,290,129,6899,3088,2221,1554,995,445
1629646,488,483,93,43,97,339,214,88,57,87,113
1641734,78,21,18,2,3,87,28,4,1,10,25
1642419,419,158,53,17,10,347,149,18,16,27,59
201587,11580,5720,3676,1076,735,9400,4111,1849,1535,1706,1191
1641878,109,50,56,15,2,130,42,15,13,31,15
203078,17257,3246,3432,882,339,13664,6346,3467,2848,1938,801
1627736,8378,2043,988,492,84,7173,3026,686,531,621,714
1630699,635,302,88,42,16,539,231,105,76,102,170
1641736,186,78,126,66,4,214,70,42,32,42,72
1630180,5165,1894,656,316,67,4196,1725,1080,914,352,369
1629048,1899,1456,409,153,361,1394,755,492,321,251,357
202687,4569,5318,635,244,1137,3336,1794,1787,981,835,907
1641710,1052,369,331,121,69,867,377,277,199,195,147
203992,7756,1838,1762,546,139,6455,2815,929,788,793,557
1629626,1243,709,126,55,153,925,504,183,137,178,202
1641737,337,245,27,26,69,192,135,100,67,61,58
1626164,16452,2718,3522,577,190,12390,5749,4042,3530,2035,673
1630527,1101,327,176,99,30,989,407,228,178,119,147
1628449,3612,2084,201,197,384,2629,1284,864,673,221,407
1631123,89,55,40,14,6,96,38,10,6,34,33
1628396,1153,1010,133,59,138,790,506,199,134,139,235
1631103,1598,380,321,71,17,1429,627,166,140,201,188
1631128,2178,897,396,168,89,1593,841,412,310,171,237
1641779,9,4,0,0,0,7,2,4,3,4,8
1628969,9875,2571,1790,741,378,7585,3652,1669,1425,818,639
1628970,6642,2627,1135,322,294,5399,2493,1119,924,675,424
1629052,1530,899,189,123,74,1204,504,481,334,133,233
1627763,7077,1917,2156,370,108,5621,2601,1285,1123,789,463
1628415,6970,1594,982,449,124,6173,2588,1122,902,704,492
1631232,142,58,13,10,10,109,53,30,22,12,14
1628971,5111,2377,1393,511,250,4213,1988,991,772,629,565
1627759,11436,3208,1589,612,228,8989,4298,2336,1696,1277,603
1641738,166,127,49,19,10,162,70,9,6,21,84
1629650,1260,1119,32,71,123,849,501,475,258,149,252
1628973,8821,1549,2449,351,48,6631,3241,1896,1561,850,487
1628418,3966,2292,410,159,305,2709,1568,753,586,302,458
1641723,134,54,44,10,7,139,52,26,17,18,27
202692,10589,3309,1926,661,209,8452,3479,2882,2355,1107,987
1630215,1531,327,637,135,42,1290,580,234,192,248,208
202710,18077,5285,4333,1600,436,12410,5866,6590,5562,1568,989
1641824,688,278,79,29,75,555,252,108,88,74,80
1631288,391,174,44,44,15,303,139,95,69,36,81
203484,10172,2708,1652,1057,265,8479,3627,1685,1385,923,912
1641739,1409,793,262,182,83,1154,525,225,166,193,148
203991,7954,6985,676,450,951,5628,3470,1863,1014,704,664
1642382,122,54,14,5,21,97,43,18,14,7,32
1642267,807,341,364,54,21,748,300,85,69,141,82
1642269,138,76,41,21,4,127,47,44,26,18,36
1628975,2422,797,747,266,113,2233,879,157,126,274,478
1628976,5171,3616,869,282,323,3841,1953,1333,972,661,437
1630618,14,8,6,3,0,15,4,6,5,5,8
1627936,2857,1201,1178,557,213,2282,1005,557,422,486,417
1642264,1190,297,332,74,22,988,423,344,249,177,81
1630658,270,256,59,18,20,212,101,82,64,49,68
1630577,1649,644,234,121,87,1327,558,220,188,153,190
