,PLAYER_ID,SCHOOL_NAME,STANDING_VERTICAL_LEAP,MAX_VERTICAL_LEAP,LANE_AGILITY_TIME,THREE_QUARTER_SPRINT,full_name,POSITION,HEIGHT_WO_SHOES,WEIGHT,WINGSPAN,STANDING_REACH,PTS,REB,AST,STL,BLK,FGA,FGM,FTA,FTM,TOV,GP,PER
0,203500,Pittsburgh,28.5,33.0,11.85,3.4,Steven Adams,C,82.75,254.5,88.5,109.5,6743,6115,1145,646,703,4786,2804,2129,1134,1083,764,14.780104712041885
1,1628389,Kentucky,33.5,38.5,11.94,3.24,Bam Adebayo,PF-C,80.75,242.6,86.75,108.0,8923,5024,2044,607,489,6389,3428,2598,1965,1218,567,21.649029982363317
2,1630534,Kansas,32.0,41.5,10.88,3.13,Ochai Agbaji,SG,76.5,214.40,82.0,103.5,2044,795,331,168,133,1786,787,229,164,223,279,7.827956989247312
3,1641725,Creighton,29.5,34.0,11.6,3.35,Trey Alexander,SG,75.25,184.60,82.0,101.5,32,12,11,2,1,41,13,4,3,5,24,1.0
4,1628960,Duke,32.5,40.5,10.31,3.15,Grayson Allen,SG,75.0,198,79.25,97.0,4250,1216,812,293,112,3140,1416,657,563,399,403,11.081885856079404
5,1628386,Texas,31.5,35.5,11.82,3.21,Jarrett Allen,C,81.0,233.6,89.25,109.5,8094,5870,1054,403,793,5024,3210,2320,1649,867,631,20.38351822503962
6,1630542,Arizona State,32.5,38.5,12.26,3.17,Marcus Bagley,SF,78.0,216.80,83.0,102.5,67,70,10,9,12,69,27,10,8,7,10,11.7
7,1631116,UW-Milwaukee,23.5,26.5,12.25,3.45,Patrick Baldwin Jr.,SF,81.25,230.80,85.75,110.5,396,213,46,30,23,334,140,42,27,40,117,3.923076923076923
8,1631230,nan,28.5,34.0,11.29,3.33,Dominick Barlow,PF,80.75,221.00,87.0,108.5,402,300,79,31,49,312,162,100,68,29,96,6.770833333333333
9,203084,North Carolina,38.0,39.5,10.93,3.16,Harrison Barnes,SF-SG,79.0,227.8,83.25,101.5,15072,5103,1854,722,191,11613,5299,3528,2861,1222,1070,13.774766355140187
10,1630567,nan,36.0,39.5,10.88,3.15,Scottie Barnes,SF,79.0,225.40,86.75,108.0,4756,2065,1368,331,267,3953,1843,1014,772,640,276,20.996376811594203
11,1629646,Western Kentucky,29.0,33.0,12.65,3.53,Charles Bassey,C,80.75,239,87.5,109.5,488,483,93,43,97,339,214,88,57,87,113,8.504424778761061
12,1641734,Memphis,27.0,32.5,11.54,3.49,Emoni Bates,SF,80.25,179.20,81.0,105.0,78,21,18,2,3,87,28,4,1,10,25,2.0
13,203078,Florida,33.0,39.0,10.95,3.28,Bradley Beal,SG,75.25,201.8,80.0,100.0,17257,3246,3432,882,339,13664,6346,3467,2848,1938,801,19.077403245942573
14,1641736,Virginia,30.5,38.0,10.99,3.14,Reece Beekman,PG,73.5,190.60,79.0,100.5,186,78,126,66,4,214,70,42,32,42,72,3.6666666666666665
15,1641710,Arkansas,32.0,39.0,11.04,3.35,Anthony Black,PG,77.75,210.00,79.5,102.5,1052,369,331,121,69,867,377,277,199,195,147,8.020408163265307
16,1641737,California-Los Angeles,35.0,40.0,11.01,3.15,Adem Bona,C,80.25,243.20,87.75,108.0,337,245,27,26,69,192,135,100,67,61,58,9.53448275862069
17,1626164,Kentucky,27.5,34.5,10.27,3.28,Devin Booker,SG,76.5,205.8,80.25,102.5,16452,2718,3522,577,190,12390,5749,4042,3530,2035,673,21.205052005943536
18,1628396,North Carolina,24.5,27.5,11.79,3.44,Tony Bradley,C,81.25,248.8,89.0,112.5,1153,1010,133,59,138,790,506,199,134,139,235,8.53191489361702
19,1631103,Ohio State,29.0,35.0,11.38,3.17,Malaki Branham,SG,76.0,194.80,82.0,102.5,1598,380,321,71,17,1429,627,166,140,201,188,7.223404255319149
20,1631128,Kansas,33.5,40.0,11.0,3.16,Christian Braun,SG,77.5,209.20,78.5,99.5,2178,897,396,168,89,1593,841,412,310,171,237,11.405063291139241
